cooalpha,codalpha,comcode,year,imports_total,imports_ex_special,eligibility_mfn,eligibility_gsp,eligibility_fta,eligibility_combined_pref,eligibility_unknown,eligibility_pref_mfn_0,eligibility_pref_unknown,use_mfn_0,use_mfn_non_0,use_gsp_0,use_gsp_non_0,use_fta_0,use_fta_non_0,use_unknown,eligibility_pref,use_pref,pur_pct
AD,AD,91022100,2023,38930,38930,0,0,38930,0,0,0,0,0,38930,0,0,0,0,0,38930,0,0.0
AD,AD,91029900,2023,1072,1072,0,0,1072,0,0,0,0,0,1072,0,0,0,0,0,1072,0,0.0
AD,AD,91131010,2026,16361,16361,0,0,16361,0,0,0,0,0,0,0,0,16361,0,0,16361,16361,1.0
AD,AD,94036010,2022,1504,1504,1504,0,0,0,0,0,0,1504,0,0,0,0,0,0,0,0,
AD,AD,94036090,2022,31472,31472,31472,0,0,0,0,0,0,31472,0,0,0,0,0,0,0,0,
AD,AD,94039990,2023,1774,1774,0,0,1774,0,0,0,0,0,0,0,0,1774,0,0,1774,1774,1.0
AD,AD,94049090,2022,2866,2866,0,0,2866,0,0,0,0,0,2866,0,0,0,0,0,2866,0,0.0
AD,AD,94061000,2025,108127,108127,0,0,108127,0,0,0,0,0,108127,0,0,0,0,0,108127,0,0.0
AD,AD,95049080,2024,991,991,991,0,0,0,0,0,0,991,0,0,0,0,0,0,0,0,
AD,AD,97019100,2024,1667,1667,1667,0,0,0,0,0,0,1667,0,0,0,0,0,0,0,0,
AD,AD,97019900,2022,83889,83889,83889,0,0,0,0,0,0,83889,0,0,0,0,0,0,0,0,
AD,AD,97019900,2023,25678,25678,25678,0,0,0,0,0,0,25678,0,0,0,0,0,0,0,0,
AD,AD,97019900,2024,1000,1000,1000,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,
AD,AD,97019900,2025,19732,19732,19732,0,0,0,0,0,0,19732,0,0,0,0,0,0,0,0,
AD,AD,97040000,2022,2203,2203,2203,0,0,0,0,0,0,2203,0,0,0,0,0,0,0,0,
AD,AD,97051000,2024,3000,3000,3000,0,0,0,0,0,0,3000,0,0,0,0,0,0,0,0,
AD,AT,20097919,2022,30531,30531,30531,0,0,0,0,0,0,0,30531,0,0,0,0,0,0,0,
AD,AT,84718000,2023,1004,1004,1004,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,
AD,AT,94051190,2025,4928,4928,0,0,4928,0,0,0,0,0,0,0,0,4928,0,0,4928,4928,1.0
AD,AT,94056180,2023,9942,9942,0,0,9942,0,0,0,0,0,0,0,0,9942,0,0,9942,9942,1.0
AD,AU,69091200,2025,16777,16777,0,0,16777,0,0,0,0,0,16777,0,0,0,0,0,16777,0,0.0
AD,BE,34024900,2025,82305,82305,0,0,82305,0,0,0,0,0,0,0,0,82305,0,0,82305,82305,1.0
AD,BE,73181699,2025,5903,5903,5903,0,0,0,0,0,0,5903,0,0,0,0,0,0,0,0,
AD,BE,84821090,2025,1268,1268,0,0,1268,0,0,0,0,0,1268,0,0,0,0,0,1268,0,0.0
AD,BE,84834090,2024,1048,1048,1048,0,0,0,0,0,0,1048,0,0,0,0,0,0,0,0,
AD,BE,90181910,2025,2555,2555,2555,0,0,0,0,0,0,2555,0,0,0,0,0,0,0,0,
AD,CA,84669350,2023,5082,5082,5082,0,0,0,0,0,0,5082,0,0,0,0,0,0,0,0,
AD,CA,85256000,2022,17399,17399,17399,0,0,0,0,0,0,17399,0,0,0,0,0,0,0,0,
AD,CH,38249996,2025,978,978,0,0,978,0,0,0,0,0,978,0,0,0,0,0,978,0,0.0
AD,CH,85235200,2023,920262,920262,920262,0,0,0,0,0,0,920262,0,0,0,0,0,0,0,0,
AD,CH,85394900,2024,1063,1063,1063,0,0,0,0,0,0,1063,0,0,0,0,0,0,0,0,
AD,CN,39174000,2024,4256,4256,0,0,4256,0,0,0,0,0,4256,0,0,0,0,0,4256,0,0.0
AD,CN,39174000,2025,23575,23575,0,0,23575,0,0,0,0,0,23575,0,0,0,0,0,23575,0,0.0
AD,CN,64029998,2025,10901,10901,0,0,10901,0,0,0,0,0,10901,0,0,0,0,0,10901,0,0.0
AD,CN,65050030,2025,3860,3860,0,0,3860,0,0,0,0,0,3860,0,0,0,0,0,3860,0,0.0
AD,CN,83024200,2023,63977,63977,63977,0,0,0,0,0,0,63977,0,0,0,0,0,0,0,0,
AD,CN,84732910,2023,1924,1924,1924,0,0,0,0,0,0,1924,0,0,0,0,0,0,0,0,
AD,CN,85366990,2025,39824,39824,0,0,39824,0,0,0,0,0,39824,0,0,0,0,0,39824,0,0.0
AD,CZ,72159000,2024,6208,6208,6208,0,0,0,0,0,0,6208,0,0,0,0,0,0,0,0,
AD,DE,40169997,2025,5420,5420,0,0,5420,0,0,0,0,0,5420,0,0,0,0,0,5420,0,0.0
AD,DE,62034390,2024,8612,8612,0,0,8612,0,0,0,0,0,8612,0,0,0,0,0,8612,0,0.0
AD,DE,68159900,2023,4006,4006,4006,0,0,0,0,0,0,4006,0,0,0,0,0,0,0,0,
AD,DE,73141400,2023,10358,10358,10358,0,0,0,0,0,0,10358,0,0,0,0,0,0,0,0,
AD,DE,76121000,2022,8165,8165,0,0,8165,0,0,0,0,0,0,0,0,8165,0,0,8165,8165,1.0
AD,DE,82090020,2022,4554,4554,4554,0,0,0,0,0,0,4554,0,0,0,0,0,0,0,0,
AD,DE,84123100,2023,1561,1561,0,0,1561,0,0,0,0,0,1561,0,0,0,0,0,1561,0,0.0
AD,DE,84169000,2023,2533,2533,2533,0,0,0,0,0,0,2533,0,0,0,0,0,0,0,0,
AD,DE,84314980,2023,1721,1721,1721,0,0,0,0,0,0,1721,0,0,0,0,0,0,0,0,
AD,DE,84713000,2024,7737,7737,7737,0,0,0,0,0,0,7737,0,0,0,0,0,0,0,0,
AD,DE,85219000,2025,5710,5710,5710,0,0,0,0,0,0,5710,0,0,0,0,0,0,0,0,
AD,DE,85389099,2023,1686,1686,1686,0,0,0,0,0,0,1686,0,0,0,0,0,0,0,0,
AD,DE,85441190,2022,17863,17863,0,0,17863,0,0,0,0,0,0,0,0,17863,0,0,17863,17863,1.0
AD,DE,87120030,2023,1122,1122,0,0,1122,0,0,0,0,0,1122,0,0,0,0,0,1122,0,0.0
AD,DE,90273000,2023,6009,6009,6009,0,0,0,0,0,0,6009,0,0,0,0,0,0,0,0,
AD,DE,96035000,2025,1129,1129,0,0,1129,0,0,0,0,0,0,0,0,1129,0,0,1129,1129,1.0
AD,DK,90230080,2026,1380,1380,1380,0,0,0,0,0,0,1380,0,0,0,0,0,0,0,0,
AD,DK,95071000,2022,2483,2483,0,0,2483,0,0,0,0,0,2483,0,0,0,0,0,2483,0,0.0
AD,EE,86090090,2023,105247,105247,105247,0,0,0,0,0,0,105247,0,0,0,0,0,0,0,0,
