Player,Nationality
Alan Shearer,
Alan Smith,
Aleksandar Mitrović,
Alen Bokšić,
Alexander Isak,
Alexandre Lacazette,
Alexis Sánchez,
Andrei Kanchelskis,
Andy Carroll,
Andy Cole,
Andy Johnson,
Anthony Martial,
Antoine Semenyo,
Benjani,
Benni McCarthy,
Brian Deane,
Bruno Fernandes,
Bryan Mbeumo,
Bukayo Saka,
Callum Wilson,
Carlos Tevez,
Cesc Fàbregas,
Charlie Austin,
Chris Armstrong,
Chris Sutton,
Chris Wood,
Christian Benteke,
Clint Dempsey,
Cole Palmer,
Craig Bellamy,
Cristiano Ronaldo,
DJ Campbell,
Daniel Sturridge,
Danny Ings,
Danny Welbeck,
Darren Bent,
Darren Huckerby,
David Silva,
David White,
Dean Holdsworth,
Dean Saunders,
Dele Alli,
Demba Ba,
Dennis Bergkamp,
Didier Drogba,
Diego Costa,
Dimitar Berbatov,
Diogo Jota,
Dion Dublin,
Dirk Kuyt,
Dominic Calvert-Lewin,
Dominic Solanke,
Dwight Yorke,
Eden Hazard,
Edin Džeko,
Eiður Guðjohnsen,
Eli Junior Kroupi,
Emile Heskey,
Emmanuel Adebayor,
Eric Cantona,
Erling Haaland,
Fabrizio Ravanelli,
Fernando Llorente,
Fernando Torres,
Florent Malouda,
Frank Lampard,
Frédéric Kanouté,
Gabriel Agbonlahor,
Gabriel Jesus,
Gabriel Martinelli,
Gareth Bale,
Gianfranco Zola,
Glenn Murray,
Grant Holt,
Graziano Pellè,
Gustavo Poyet,
Gylfi Sigurðsson,
Hamilton Ricard,
Harry Kane,
Harry Kewell,
Henri Camara,
Ian Wright,
Igor Thiago,
Ivan Toney,
James Beattie,
Jamie Vardy,
Jarrod Bowen,
Javier Hernández,
Jay Rodriguez,
Jean-Philippe Mateta,
Jermain Defoe,
Jimmy Floyd Hasselbaink,
John Carew,
John Hartson,
Jonatan Johansson,
Joshua King,
João Pedro,
Juan Pablo Ángel,
Julian Joachim,
Juninho,
Jørgen Strand Larsen,
Jürgen Klinsmann,
Kevin Davies,
Kevin De Bruyne,
Kevin Doyle,
Kevin Gallacher,
Kevin Phillips,
Les Ferdinand,
Louis Saha,
Luis Suárez,
Marcus Rashford,
Marcus Stewart,
Marians Pahars,
Mario Balotelli,
Mark Bright,
Mark Hughes,
Mark Robins,
Mark Viduka,
Marlon Harewood,
Martin Ødegaard,
Matheus Cunha,
Matt Le Tissier,
Michael Bridges,
Michael Owen,
Michu,
Micky Quinn,
Mikael Forssell,
Mohamed Salah,
Morgan Gibbs-White,
Niall Quinn,
Nicolas Anelka,
Odion Ighalo,
Ole Gunnar Solskjær,
Olivier Giroud,
Ollie Watkins,
Paolo Di Canio,
Papiss Cissé,
Patrick Bamford,
Paul Pogba,
Paul Scholes,
Paulo Wanchope,
Peter Beardsley,
Peter Crouch,
Peter Odemwingie,
Phil Foden,
Pierre-Emerick Aubameyang,
Rafael van der Vaart,
Raheem Sterling,
Raúl Jiménez,
Richarlison,
Rickie Lambert,
Riyad Mahrez,
Robbie Fowler,
Robbie Keane,
Robert Pires,
Roberto Firmino,
Robin van Persie,
Robinho,
Rod Wallace,
Romelu Lukaku,
Roque Santa Cruz,
Ruud van Nistelrooy,
Sadio Mané,
Saido Berahino,
Sergio Agüero,
Son Heung-min,
Stan Collymore,
Steffen Iversen,
Steve Claridge,
Steven Gerrard,
Teddy Sheringham,
Thierry Henry,
Tony Cottee,
Troy Deeney,
Uwe Rösler,
Viktor Gyökeres,
Wayne Rooney,
Wilfried Bony,
Wilfried Zaha,
Yakubu,
Yaya Touré,
Yoane Wissa,
Zlatan Ibrahimović,
İlkay Gündoğan,
