partner_iso,partner_name,agreement,year,hs2,hs2_description,hs_section,hs_section_description,agri_flag,total_exports,total_exports_excl_special_processing,mfn_zero_exports,mfn_non_zero_exports,fta_zero_exports,fta_non_zero_exports,special_processing_exports,unknown_exports,pref_eligible_exports,pref_usage_exports,pur_percent,tariff_free_percent
CA,Canada,Canada,2021,42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)",8,Leather & hides,Non-AGRI,2470459,2248164,211941,1371253,664970,0,222295,0,2036222,664970,32.7,39
CA,Canada,Canada,2021,43,Furskins and artificial fur; manufactures thereof,8,Leather & hides,Non-AGRI,38241,33547,11647,12186,9714,0,4694,0,21899,9714,44.4,63.7
CA,Canada,Canada,2021,44,Wood and articles of wood; wood charcoal,9,Wood & wood products,Non-AGRI,1966769,1930037,1628264,208200,93572,0,36732,0,301772,93572,31,89.2
CA,Canada,Canada,2021,45,Cork and articles of cork,9,Wood & wood products,Non-AGRI,141968,141230,141230,0,0,0,738,0,0,0,NA,100
CA,Canada,Canada,2021,46,"Manufactures of straw, esparto or other plaiting materials; basketware and wickerwork",9,Wood & wood products,Non-AGRI,18927,17733,0,13197,4536,0,1194,0,17733,4536,25.6,25.6
CA,Canada,Canada,2021,47,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,10,"Paper, printed products",Non-AGRI,880,807,807,0,0,0,73,0,0,0,NA,100
CA,Canada,Canada,2021,48,"Paper and paperboard; articles of paper pulp, of paper or paperboard",10,"Paper, printed products",Non-AGRI,25496676,25390798,25390798,0,0,0,105878,0,0,0,NA,100
CA,Canada,Canada,2021,49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",10,"Paper, printed products",Non-AGRI,46691370,46241982,46241982,0,0,0,449388,0,0,0,NA,100
CA,Canada,Canada,2021,50,Silk,11,Textiles & textile articles,Non-AGRI,34430,32113,32113,0,0,0,2317,0,0,0,NA,100
CA,Canada,Canada,2021,51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",11,Textiles & textile articles,Non-AGRI,1693083,1671284,1671284,0,0,0,21799,0,0,0,NA,100
CA,Canada,Canada,2021,52,Cotton,11,Textiles & textile articles,Non-AGRI,213681,209779,209181,598,0,0,3902,0,598,0,0,99.7
CA,Canada,Canada,2021,53,Vegetable textile fibres; paper yarn and woven fabrics of paper yarn,11,Textiles & textile articles,Non-AGRI,322640,318426,318426,0,0,0,4214,0,0,0,NA,100
CA,Canada,Canada,2021,54,Man-made filaments; strip and the like of man-made textile materials,11,Textiles & textile articles,Non-AGRI,579998,543729,543610,110,9,0,36269,0,119,9,7.3,100
CA,Canada,Canada,2021,55,Man-made staple fibres,11,Textiles & textile articles,Non-AGRI,308420,281552,272730,8717,105,0,26868,0,8822,105,1.2,96.9
CA,Canada,Canada,2021,56,"Wadding, felt and nonwovens, special yarns; twine, cordage, ropes and cables and articles thereof",11,Textiles & textile articles,Non-AGRI,2270266,2265483,1644263,444415,176805,0,4783,0,621220,176805,28.5,80.4
CA,Canada,Canada,2021,57,Carpets and other textile floor coverings,11,Textiles & textile articles,Non-AGRI,2571369,2564223,776,1234324,1329124,0,7146,0,2563447,1329124,51.8,51.9
CA,Canada,Canada,2021,58,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",11,Textiles & textile articles,Non-AGRI,1119926,1110367,1110352,15,0,0,9559,0,15,0,0,100
CA,Canada,Canada,2021,59,"Textile fabrics; impregnated, coated, covered or laminated; textile articles of a kind suitable for industrial use",11,Textiles & textile articles,Non-AGRI,3501682,3492041,1819203,1426891,245948,0,9641,0,1672839,245948,14.7,59.1
CA,Canada,Canada,2021,60,Fabrics; knitted or crocheted,11,Textiles & textile articles,Non-AGRI,793218,792985,792985,0,0,0,233,0,0,0,NA,100
CA,Canada,Canada,2021,61,Apparel and clothing accessories; knitted or crocheted,11,Textiles & textile articles,Non-AGRI,8421457,8203655,35389,6698055,1470212,0,217802,0,8168266,1470212,18,18.4
CA,Canada,Canada,2021,62,Apparel and clothing accessories; not knitted or crocheted,11,Textiles & textile articles,Non-AGRI,12454750,10940840,968154,8617030,1355656,0,1513910,0,9972686,1355656,13.6,21.2
CA,Canada,Canada,2021,63,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",11,Textiles & textile articles,Non-AGRI,5332885,5208696,637810,2831904,1738982,0,124189,0,4570886,1738982,38,45.6
CA,Canada,Canada,2021,64,Footwear; gaiters and the like; parts of such articles,12,"Footwear, headgear",Non-AGRI,1972970,1759155,142293,1140045,476817,0,213815,0,1616862,476817,29.5,35.2
CA,Canada,Canada,2021,65,Headgear and parts thereof,12,"Footwear, headgear",Non-AGRI,4001130,3924070,396121,2875319,652630,0,77060,0,3527949,652630,18.5,26.7
CA,Canada,Canada,2021,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",12,"Footwear, headgear",Non-AGRI,50727,49817,138,30741,18938,0,910,0,49679,18938,38.1,38.3
CA,Canada,Canada,2021,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",12,"Footwear, headgear",Non-AGRI,110698,64877,6745,30014,28117,0,45821,0,58132,28117,48.4,53.7
CA,Canada,Canada,2021,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",13,"Articles of stone, plaster, cement, asbestos",Non-AGRI,9739406,9724977,7949625,942266,833086,0,14429,0,1775352,833086,46.9,90.3
CA,Canada,Canada,2021,69,Ceramic products,13,"Articles of stone, plaster, cement, asbestos",Non-AGRI,8163333,8111683,2111653,5186199,813831,0,51650,0,6000030,813831,13.6,36.1
CA,Canada,Canada,2021,70,Glass and glassware,13,"Articles of stone, plaster, cement, asbestos",Non-AGRI,5649349,5592235,5522849,47534,21852,0,57114,0,69386,21852,31.5,99.1
CA,Canada,Canada,2021,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",14,"Pearls, (semi-)precious stones & metals",Non-AGRI,374621976,374336415,371727502,1677135,931778,0,285561,0,2608913,931778,35.7,99.6
CA,Canada,Canada,2021,72,Iron and steel,15,Base metals & articles thereof,Non-AGRI,106900615,106899781,106899781,0,0,0,834,0,0,0,NA,100
CA,Canada,Canada,2021,73,Iron or steel articles,15,Base metals & articles thereof,Non-AGRI,55194183,55097094,42586406,9454461,3056226,0,97089,0,12510687,3056226,24.4,82.8
CA,Canada,Canada,2021,74,Copper and articles thereof,15,Base metals & articles thereof,Non-AGRI,11198630,11186847,10567282,428689,190875,0,11783,0,619565,190875,30.8,96.2
CA,Canada,Canada,2021,75,Nickel and articles thereof,15,Base metals & articles thereof,Non-AGRI,19043055,19042633,13516144,5054607,471882,0,422,0,5526489,471882,8.5,73.5
CA,Canada,Canada,2021,76,Aluminium and articles thereof,15,Base metals & articles thereof,Non-AGRI,12048405,12037596,6423666,3660332,1953599,0,10809,0,5613930,1953599,34.8,69.6
CA,Canada,Canada,2021,78,Lead and articles thereof,15,Base metals & articles thereof,Non-AGRI,102814,102814,102814,0,0,0,0,0,0,0,NA,100
CA,Canada,Canada,2021,79,Zinc and articles thereof,15,Base metals & articles thereof,Non-AGRI,415144,415144,50205,362452,2488,0,0,0,364939,2488,0.7,12.7
CA,Canada,Canada,2021,80,Tin; articles thereof,15,Base metals & articles thereof,Non-AGRI,908729,908069,884920,10001,13148,0,660,0,23149,13148,56.8,98.9
CA,Canada,Canada,2021,81,"Metals; n.e.c., cermets and articles thereof",15,Base metals & articles thereof,Non-AGRI,11346634,11346546,11346546,0,0,0,88,0,0,0,NA,100
CA,Canada,Canada,2021,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",15,Base metals & articles thereof,Non-AGRI,12890611,12772473,9156530,2773732,842210,0,118138,0,3615943,842210,23.3,78.3
CA,Canada,Canada,2021,83,Metal; miscellaneous products of base metal,15,Base metals & articles thereof,Non-AGRI,12631375,12599243,7129409,4710884,758950,0,32132,0,5469834,758950,13.9,62.6
CA,Canada,Canada,2021,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",16,Machinery & mechanical appliances,Non-AGRI,779289483,778965036,778614357,186802,163877,0,324447,0,350679,163877,46.7,100
CA,Canada,Canada,2021,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",16,Machinery & mechanical appliances,Non-AGRI,205110921,204587163,196006422,5157515,3423226,0,523758,0,8580741,3423226,39.9,97.5
CA,Canada,Canada,2021,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",17,Transportation equipment,Non-AGRI,4346703,4346130,2001882,2114166,230082,0,573,0,2344248,230082,9.8,51.4
CA,Canada,Canada,2021,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17,Transportation equipment,Non-AGRI,625186723,624508176,106651745,415515448,8311630,94029353,678547,0,517856431,102340983,19.8,18.4
CA,Canada,Canada,2021,88,"Aircraft, spacecraft and parts thereof",17,Transportation equipment,Non-AGRI,328446035,328432452,328177718,208567,46167,0,13583,0,254734,46167,18.1,99.9
CA,Canada,Canada,2021,89,"Ships, boats and floating structures",17,Transportation equipment,Non-AGRI,20978391,20970123,24716,16836135,4109272,0,8268,0,20945407,4109272,19.6,19.7
CA,Canada,Canada,2021,90,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",18,"Instruments - measuring, musical",Non-AGRI,221948288,221775802,218845295,2121254,809253,0,172486,0,2930507,809253,27.6,99
CA,Canada,Canada,2021,91,Clocks and watches and parts thereof,18,"Instruments - measuring, musical",Non-AGRI,500664,444563,185545,178435,80582,0,56101,0,259018,80582,31.1,59.9
CA,Canada,Canada,2021,92,Musical instruments; parts and accessories of such articles,18,"Instruments - measuring, musical",Non-AGRI,1513794,1418969,601369,445912,371689,0,94825,0,817600,371689,45.5,68.6
